term,estimate,std.error,statistic,p.value
(Intercept),1086183.0084528164,18648.625687426964,58.24466781941624,0
seasonSpring,-296.56999359526753,15169.10697267971,-0.019550919782516156,0.9844021446332722
seasonSummer,-5476.997370814425,15303.681560872727,-0.35788756770904,0.7204376788625514
seasonFall,-91632.4615605633,15242.033991240458,-6.011826348978368,1.921707040168473e-9
regionMidsouth,-62366.31697192221,21414.703767683022,-2.912312850483571,0.0035983723462959536
regionNortheast,844700.2765733728,21414.70376768395,39.44487328599312,5.563298158201576e-309
regionNorthernNewEngland,-407455.80175910937,21437.867195399067,-19.006359076921438,1.114324497280289e-78
regionPlains,-338442.68876071513,21414.70376768321,-15.804219961774898,2.3320133608525498e-55
regionSouthCentral,-73133.15608773091,21473.16611235587,-3.4057928721395854,6.63236526994274e-4
regionSoutheast,-379042.5283834823,21420.48152997338,-17.69533181843244,1.1720842390749046e-68
regionWest,92266.14071431916,21461.244840394993,4.299197991565387,1.7361976664995706e-5
type_bin,-996731.251137083,10722.516959090352,-92.95683606189802,0
