cluster,Marital_Status,proportion
0,Married,0.38990825688073394
0,Together,0.25229357798165136
0,Single,0.23623853211009174
0,Divorced,0.0871559633027523
0,Widow,0.03211009174311927
0,Absurd,0.0022935779816513763
1,Married,0.39450441609421
1,Together,0.25809617271835134
1,Single,0.2237487733071639
1,Divorced,0.0971540726202159
1,Widow,0.02453385672227674
1,Alone,0.001962708537782139
2,Married,0.3731958762886598
2,Together,0.27628865979381445
2,Single,0.16907216494845362
2,Divorced,0.13195876288659794
2,Widow,0.04329896907216495
2,YOLO,0.004123711340206186
2,Alone,0.002061855670103093
3,Married,0.38095238095238093
3,Together,0.23809523809523808
3,Single,0.2087912087912088
3,Divorced,0.10989010989010989
3,Widow,0.05860805860805861
3,Absurd,0.003663003663003663
