variable,percent_missing
_STATE,0
IMONTH,0
IDAY,0
IYEAR,0
DISPCODE,0
PVTRESD1,73.15
COLGHOUS,99.99
NUMADULT,73.16
NUMMEN,85.08
NUMWOMEN,85.08
RESPSLCT,85.26
PVTRESD3,26.85
CCLGHOUS,99.71
LANDLINE,26.85
HHADULT,26.85
SEXVAR,0
GENHLTH,0
PHYSHLTH,0
MENTHLTH,0
POORHLTH,46.79
PRIMINSR,0
PERSDOC3,0
MEDCOST1,0
CHECKUP1,0
EXERANY2,0
BPHIGH6,0
BPMEDS,60.76
CHOLCHK3,0
TOLDHI3,13.87
CHOLMED3,14.04
CVDINFR4,0
CVDCRHD4,0
CVDSTRK3,0
ASTHMA3,0
ASTHNOW,85.98
CHCSCNCR,0
CHCOCNCR,0
CHCCOPD3,0
ADDEPEV3,0
CHCKDNY2,0
DIABETE4,0
DIABAGE3,86.87
HAVARTH5,0
ARTHEXER,67.51
ARTHEDU,67.51
LMTJOIN3,67.51
ARTHDIS2,67.51
JOINPAI2,67.51
MARITAL,0
EDUCA,0
RENTHOM1,0
NUMHHOL3,73.15
NUMPHON3,92.75
CPDEMO1B,0.07
VETERAN3,0.37
EMPLOY1,0.82
CHILDREN,1.4
INCOME3,2.02
PREGNANT,81.61
WEIGHT2,2.69
HEIGHT3,2.95
DEAF,3.33
BLIND,3.59
DECIDE,3.84
DIFFWALK,4.11
DIFFDRES,4.28
DIFFALON,4.53
SMOKE100,4.84
SMOKDAY2,61.83
USENOW3,5.01
ECIGNOW1,5.25
ALCDAY5,5.58
AVEDRNK3,52.03
DRNK3GE5,52.17
MAXDRNKS,52.3
FLUSHOT7,6.3
FLSHTMY3,51.76
IMFVPLA2,52.5
PNEUVAC4,6.63
HIVTST7,6.87
HIVTSTD3,70.64
FRUIT2,7.79
FRUITJU2,8.15
FVGREEN1,8.43
FRENCHF1,8.69
POTATOE1,8.96
VEGETAB2,9.26
PDIABTST,73.87
PREDIAB1,73.87
INSULIN1,94.93
BLDSUGAR,94.93
FEETCHK3,94.93
DOCTDIAB,94.93
CHKHEMO3,94.93
FEETCHK,94.97
EYEEXAM1,94.93
DIABEYE,94.93
DIABEDU,94.93
TOLDCFS,100
HAVECFS,100
WORKCFS,100
TOLDHEPC,97.54
TRETHEPC,99.98
PRIRHEPC,99.99
HAVEHEPC,100
HAVEHEPB,97.54
MEDSHEPB,100
HPVADVC4,96.97
HPVADSHT,99.43
TETANUS1,96.61
SHINGLE2,96.91
LCSFIRST,97.14
LCSLAST,97.24
LCSNUMCG,97.24
LCSCTSCN,93.12
HADMAM,97.83
HOWLONG,98.3
CERVSCRN,97.83
CRVCLCNC,98.89
CRVCLPAP,98.9
CRVCLHPV,98.89
HADHYST2,97.86
PSATEST1,99.49
PSATIME1,99.74
PCPSARS2,99.74
PCSTALK,99.75
HADSIGM4,98.23
COLNSIGM,98.72
COLNTES1,98.95
SIGMTES1,99.99
LASTSIG4,99.78
COLNCNCR,98.23
VIRCOLO1,99.63
VCLNTES1,99.98
SMALSTOL,99.63
STOLTEST,99.72
STOOLDN1,99.63
BLDSTFIT,99.94
SDNATES1,99.96
CNCRDIFF,97.73
CNCRAGE,97.77
CNCRTYP1,97.77
CSRVTRT3,98.33
CSRVDOC1,98.99
CSRVSUM,98.99
CSRVRTRN,98.99
CSRVINST,99.23
CSRVINSR,98.99
CSRVDEIN,98.99
CSRVCLIN,98.99
CSRVPAIN,97.94
CSRVCTL2,99.81
HOMBPCHK,71.28
HOMRGCHK,71.29
WHEREBP,90.99
SHAREBP,90.99
WTCHSALT,91.77
DRADVISE,91.78
CIMEMLOS,92.44
CDHOUSE,99
CDASSIST,99.01
CDHELP,99.71
CDSOCIAL,99.01
CDDISCUS,99.01
CAREGIV1,57.09
CRGVREL4,91.16
CRGVLNG1,91.17
CRGVHRS1,91.19
CRGVPRB3,91.22
CRGVALZD,92.1
CRGVPER1,91.26
CRGVHOU1,91.28
CRGVEXPT,66.08
ACEDEPRS,86.6
ACEDRINK,86.63
ACEDRUGS,86.64
ACEPRISN,86.65
ACEDIVRC,86.65
ACEPUNCH,86.66
ACEHURT1,86.67
ACESWEAR,86.68
ACETOUCH,86.7
ACETTHEM,86.71
ACEHVSEX,86.72
ACEADSAF,86.73
ACEADNED,86.74
MARIJAN1,68.64
RSNMRJN2,96.92
LASTSMK2,88.18
STOPSMK2,94.52
FIREARM5,93.03
GUNLOAD,97.23
LOADULK2,99.02
RCSGENDR,86.99
RCSRLTN2,87.08
CASTHDX2,87.5
CASTHNO2,98.69
BIRTHSEX,77.55
SOMALE,73.98
SOFEMALE,70.07
TRNSGNDR,43.98
QSTVER,0
QSTLANG,0
_METSTAT,1.61
_URBSTAT,1.61
MSCODE,73.56
_CHISPNC,28.91
CAGEG,88.93
_AGE_G,0
